,,Johnstons Point,,,,,,,,,,,
,Month,January,February,March,April,May,June,July,August,September,October,November,December
,Depth,,,Vertical,Vertical,Vertical,Vertical,Vertical,Vertical,Vertical,Vertical,Vertical,
,Sub-sample multiplier,,,8,16,50,50,25,100,16,16,2,
Amphipoda,Hyperiid,,,,,,,,,,,,
Amphipoda,Non hyperiid,,,,,,,,,,,,
Anomura,Indeterminate megalops,,,,,,,,,,,,
Anomura,Indeterminate zoea,,,,,,,1,,2,,,
Anomura,Pisidia longicornis megalops,,,,,,,,,,,,
Anomura,Pisidia longicornis zoea,,,,,,,,2,,,,
Anomura,Porcellana platycheles megalops,,,,,,,,,,,,
Anomura,Porcellana platycheles zoea,,,,,,,,,,,,
Anthozoa,Larvae,,,,2,,,,,,,,
Appendicularia,Fritillaria borealis,,,104,,,,50,200,,,6,
Appendicularia,Indeterminate doliolid,,,,,,,,,,,,
Appendicularia,Indeterminate larvacean,,,,,,,,,,,,
Appendicularia,Oikopleura spp.,,,88,16,950,1052,300,6100,256,128,14,
Appendicularia,Salpa fusiformis,,,,,,,,,,,,
Appendicularia,Indeterminate salp,,,,,,,,,,,,
Ascidiacea,Indeterminate larvae,,,,,,,,,,,,
Brachyura,Corystes cassivelaunus megalops,,,,,,,,,,,,
Brachyura,Corystes cassivelaunus zoea,,,,,,,,,,,,
Brachyura,Ebalia spp. megalops,,,,,,,,,,,,
Brachyura,Ebalia spp. zoea,,,,,,,,,,,,
Brachyura,Hyas spp. megalops,,,,,,,,,,,,
Brachyura,Hyas spp. Zoea,,,,,,,,,,,,
Brachyura,Indeterminate megalops,,,,,,,,,,,,
Brachyura,Indeterminate zoea,,,,,,,2,4,21,1,,
Bryozoa,Cyphonautes larvae,,,88,80,100,150,25,400,128,368,2,
Calanoida,Acartia clausi C6F,,,,,,,175,,,128,78,
Calanoida,Acartia clausi C6M,,,,,,,50,,,16,,
Calanoida,Acartia discaudata C6F,,,,,,,,,,,,
Calanoida,Acartia discaudata C6M,,,,,,,,,,,,
Calanoida,Acartia longiremis C6F,,,,,,,,,,,,
Calanoida,Acartia longiremis C6M,,,,,,,,,,,,
Calanoida,Acartia spp. C1,,,8,16,,50,50,1300,,,,
Calanoida,Acartia spp. C2,,,24,16,,50,50,500,,,,
Calanoida,Acartia spp. C3,,,,,,50,,400,,16,,
Calanoida,Acartia spp. C4,,,,,,,125,600,,,,
Calanoida,Acartia spp. C5,,,,16,,,25,400,80,,8,
Calanoida,Acartia spp. C6F,,,,,50,,,300,352,,,
Calanoida,Acartia spp. C6M,,,,,,,,,48,,,
Calanoida,Aetideus armatus C1-5,,,,,,,,,,,,
Calanoida,Aetideus armatus C6F,,,,,,,,,,,,
Calanoida,Aetideus armatus C6M,,,,,,,,,,,,
Calanoida,Anomalocera patersoni C1-5,,,,,,,,,,,,
Calanoida,Anomalocera patersoni C6F,,,,,,,,,,,,
Calanoida,Anomalocera patersoni C6M,,,,,,,,,,,,
Calanoida,Calanus finmarchicus C5,,,,136,,50,,7,,,8,
Calanoida,Calanus finmarchicus C6F,,,,48,100,50,,1,,,1,
Calanoida,Calanus finmarchicus C6M,,,,8,,,,3,,,,
Calanoida,Calanus helgolandicus C5,,,,,,,75,3,32,20,1,
Calanoida,Calanus helgolandicus C6F,,,,8,,,,,32,1,,
Calanoida,Calanus helgolandicus C6M,,,,,,,,,,,,
